행정구역,시군구,면적,인구수,남자,여자,유소년,생산가능인구,고령인구,외국인,외국인(남),외국인(여),인구밀도,인구증가율
대구광역시,수성구,76.54,424314,201689,215408,52505,295407,69185,1633,675,958,5449.4,-1.7
대구광역시,달서구,62.35,558631,268498,276428,62340,397814,84772,9703,5519,4184,8739.79,-2.45
대구광역시,달성군,426.86,259339,133149,129302,41977,184944,35530,5022,3125,1897,614.84,1.2
인천광역시,중구,411.42,69203,34868,34825,5469,40473,23751,763,500,263,169.4,0.71
인천광역시,동구,172.94,20455,11598,8744,1396,13181,5765,193,143,50,117.62,-0.55
인천광역시,미추홀구,140.36,139729,74679,68954,18653,103245,21735,3902,1996,1906,1023.32,2.79
인천광역시,연수구,7.2,62542,30998,30488,5905,40911,14670,849,455,394,8539.72,-1.69
인천광역시,남동구,24.84,404343,205283,202181,41600,293544,72320,9087,4517,4570,16403.54,0.77
인천광역시,부평구,56.19,387450,193417,196227,59884,288739,41021,12459,6620,5839,6934.4,0.57
인천광역시,계양구,57.45,525354,257468,260804,62839,379800,75633,10928,6931,3997,9021.27,-1.35
인천광역시,서구,32,494962,240348,246417,50478,359794,76493,13781,7039,6742,15211.41,-1.66
인천광역시,강화군,45.57,296750,147316,148380,29425,225431,40840,3106,1325,1781,6488.83,-0.36
인천광역시,옹진군,118.49,542040,280398,274982,78751,413426,63203,11296,7378,3918,4687.15,2.46
광주광역시,동구,49.31,102897,51046,52424,10717,70107,22646,2168,1109,1059,2098.36,0.56
광주광역시,서구,47.76,296576,142721,148510,34417,212865,43949,2249,980,1269,6097.8,-1.8
광주광역시,남구,60.99,214579,103542,112033,28605,147867,39103,1947,762,1185,3534.6,0.46
광주광역시,북구,120.27,430431,211999,215115,52010,307529,67575,5924,2701,3223,3551.29,-0.77
광주광역시,광산구,222.79,405579,203707,200514,63337,300866,40018,18209,10488,7721,1814.36,-0.33
대전광역시,동구,136.68,223021,111953,110269,23515,154550,44157,4226,1964,2262,1625.86,-0.36
대전광역시,중구,62.18,235550,113507,116834,23930,159264,47147,1377,478,899,3704.42,-2.21
대전광역시,서구,95.53,477880,232714,240651,59597,349420,64348,3486,1424,2062,4955.14,-0.94
대전광역시,유성구,176.55,351047,177463,173814,52329,262887,36061,6164,3084,3080,1989.67,0.07
대전광역시,대덕구,68.72,176384,88989,86057,17872,127680,29494,2039,1017,1022,2547.24,-0.76
울산광역시,중구,37,217595,107736,105147,25240,152581,35062,1668,670,998,5753.59,-2.17
울산광역시,남구,73.5,320064,160055,153764,36815,235574,41430,4193,2153,2040,4269.65,-1.95
울산광역시,동구,36.1,156806,80417,73679,22158,110521,21417,2953,1909,1044,4268.59,-1.73
울산광역시,북구,157.3,219014,113265,105470,37131,161876,19728,2148,1234,914,1390.56,-0.13
울산광역시,울주군,758.4,222538,114744,107315,27359,159376,35324,5865,3848,2017,292.8,-0.22
경기도,수원시,121.09,1186078,595933,587781,148234,896405,139075,33251,16762,16489,9775.49,-0.2
경기도,성남시,141.63,940064,461131,469817,108099,684758,138091,14089,6744,7345,6573.1,-0.97
경기도,의정부시,81.55,461710,228538,235123,53285,336851,73525,4678,2141,2537,5685.6,0.42
경기도,안양시,58.47,550027,270496,276682,62263,405633,79282,6071,2932,3139,9358.27,-0.52
경기도,부천시,53.45,818383,399484,406583,86048,601351,118668,23779,11995,11784,15080.77,-1.5
경기도,광명시,38.53,298599,144384,148509,36351,213497,43045,3578,1758,1820,7601.69,-1.91
경기도,평택시,479,537307,293954,270334,78308,415857,70123,23758,13534,10224,1178.05,5.02
경기도,동두천시,95.67,94353,46694,46898,10049,63617,19926,3268,1940,1328,978.28,-0.81
경기도,안산시,156.4,654915,334646,318080,70260,506100,76366,47412,26471,20941,4173.44,-0.33
